,non_missing,non_missing,non_missing,non_missing,non_missing,missing,missing,missing,missing,missing,missing_pct,missing_pct,missing_pct,missing_pct,missing_pct,total
,j_flux,tsmoisture,t05,t10,t30,j_flux,tsmoisture,t05,t10,t30,j_flux,tsmoisture,t05,t10,t30,0
siteid,,,,,,,,,,,,,,,,
Dobroc,3121,2283,2041,1067,0,0,838,1080,2054,3121,0.0,26.9,34.6,65.8,100.0,3121
Dumbravita,6741,5936,6741,0,0,0,805,0,6741,6741,0.0,11.9,0.0,100.0,100.0,6741
Gamiz,2413,2288,2413,0,0,0,125,0,2413,2413,0.0,5.2,0.0,100.0,100.0,2413
Karstula,3985,0,3985,0,0,0,3985,0,3985,3985,0.0,100.0,0.0,100.0,100.0,3985
Kelheim-Parsberg,2276,1536,1536,0,994,0,740,740,2276,1282,0.0,32.5,32.5,100.0,56.3,2276
Kranzberg-Freising,2905,2764,2892,0,1544,0,141,13,2905,1361,0.0,4.9,0.4,100.0,46.9,2905
Kroondomein,2183,2082,0,2082,0,0,101,2183,101,2183,0.0,4.6,100.0,4.6,100.0,2183
Llobera,3299,2547,2550,0,0,0,752,749,3299,3299,0.0,22.8,22.7,100.0,100.0,3299
NP Hoge Veluwe,2037,1939,0,1955,0,0,98,2037,82,2037,0.0,4.8,100.0,4.0,100.0,2037
RincondelBatovi,2911,0,0,0,0,0,2911,2911,2911,2911,0.0,100.0,100.0,100.0,100.0,2911
Ränskälänkorpi,5474,0,4252,12,3640,0,5474,1222,5462,1834,0.0,100.0,22.3,99.8,33.5,5474
Saint Mitre,2697,0,0,0,0,0,2697,2697,2697,2697,0.0,100.0,100.0,100.0,100.0,2697
Secanella,3671,2472,2690,0,0,0,1199,981,3671,3671,0.0,32.7,26.7,100.0,100.0,3671
St Christol,1444,1191,1164,0,0,0,253,280,1444,1444,0.0,17.5,19.4,100.0,100.0,1444
Wasserburg-Maitenbeth,1476,1384,1384,0,1039,0,92,92,1476,437,0.0,6.2,6.2,100.0,29.6,1476
Zwolse Bos,2224,2096,0,2096,0,0,128,2224,128,2224,0.0,5.8,100.0,5.8,100.0,2224
